1,ABBR,spmd  <=> ,5988
2,NAME,Spermidine <  = > ,5988
3,ABBR,h2o + CE5853  <=> h + glcur + CE1925 ,5989
4,NAME,Water+alpha-CEHC-glucuronide <  = > proton+D-glucuronate+3'-carboxy-alpha-chromanol,5989
5,ABBR,udpgal + gd2_hs  => h + udp + gd1b_hs ,5982
6,NAME,UDP-D-galactose(2-)+GD2 = > proton+UDP+GD1b,5982
7,ABBR,ala_L + Lcystin  => ala_L + Lcystin ,5983
8,NAME,L-alanine+L-cystine = > L-alanine+L-cystine,5983
9,ABBR,sarcs  <=> ,5980
10,NAME,Sarcosine <  = > ,5980
11,ABBR,ala_B  <=> ,5981
12,NAME,beta-alanine <  = > ,5981
13,ABBR,atp + dag_hs  <=> adp + h + pa_hs ,5986
14,NAME,ATP+diglyceride <  = > ADP+proton+phosphatidate(2-),5986
15,ABBR,coa + CE5942  <=> ppcoa + CE4805 ,5987
16,NAME,"Coenzyme A+3-oxo-(2S,6R,10R)-trimethyl-hendecanoyl-CoA <  = > Propanoyl-CoA+4(R),8-dimethyl-nonanoyl-CoA",5987
17,ABBR,5 h2o + cs_e_deg7  => 2 h + 2 so4 + 2 gal + glcur + xyl_D ,5984
18,NAME,"5Water+chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 7 = > 2proton+2sulfate+2D-Galactose+D-glucuronate+aldehydo-D-xylose",5984
19,ABBR,udpgal + fucgalacglcgal14acglcgalgluside_hs  => h + udp + galfucgalacglcgal14acglcgalgluside_hs ,5985
20,NAME,UDP-D-galactose(2-)+VI2Fuc-nLc6 = > proton+UDP+(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1,5985
21,ABBR,atp + coa + hexdiac  => amp + ppi + hexdicoa ,270
22,NAME,ATP+Coenzyme A+hexadecanediocacid = > AMP+Diphosphate+hexadecanedioylcoa,270
23,ABBR,thf  <=> thf ,271
24,NAME,"5,6,7,8-Tetrahydrofolate <  = > 5,6,7,8-Tetrahydrofolate",271
25,ABBR,accoa + gt3_hs  => coa + oagt3_hs ,272
26,NAME,Acetyl-CoA+GT3 = > Coenzyme A+9-O-Acetylated GT3,272
27,ABBR,2 h + 2 nadph + 3 fadh2 + dcsptn1coa  => 2 nadp + 3 fad + 1.375 R2coa_hs ,273
28,NAME,"2proton+2Nicotinamide adenine dinucleotide phosphate - reduced+3Flavin adenine dinucleotide reduced+docosa-4,7,10,13,16-pentaenoyl coenzyme A = > 2Nicotinamide adenine dinucleotide phosphate+3Flavin adenine dinucleotide oxidized+1.375R group 2 Coenzyme A",273
29,ABBR,gly + succoa  <=> coa + HC01496 ,274
30,NAME,Glycine+Succinyl-CoA <  = > Coenzyme A+2-Amino-3-oxoadipate,274
31,ABBR,udpglcur + hs_pre3  => h + udp + hs_pre4 ,275
32,NAME,UDP-D-glucuronate+GlcNAc-GlcA-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein) = > proton+UDP+GlcA-GlcNAc-GlcA-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein),275
