1,ABBR,10fthf5glu[c]  => 10fthf5glu[l] ,1
2,NAME,10-formyltetrahydrofolate-[Glu](5) = > 10-formyltetrahydrofolate-[Glu](5),1
3,ABBR,10fthf5glu[m]  => 10fthf5glu[c] ,2
4,NAME,10-formyltetrahydrofolate-[Glu](5) = > 10-formyltetrahydrofolate-[Glu](5),2
5,ABBR,10fthf6glu[c]  => 10fthf6glu[l] ,3
6,NAME,10-formyltetrahydrofolate-[Glu](6) = > 10-formyltetrahydrofolate-[Glu](6),3
7,ABBR,10fthf6glu[m]  => 10fthf6glu[c] ,4
8,NAME,10-formyltetrahydrofolate-[Glu](6) = > 10-formyltetrahydrofolate-[Glu](6),4
9,ABBR,10fthf7glu[c]  => 10fthf7glu[l] ,5
10,NAME,10-formyltetrahydrofolate-[Glu](7) = > 10-formyltetrahydrofolate-[Glu](7),5
11,ABBR,10fthf7glu[m]  => 10fthf7glu[c] ,6
12,NAME,10-formyltetrahydrofolate-[Glu](7) = > 10-formyltetrahydrofolate-[Glu](7),6
13,ABBR,10fthf[c]  <=> 10fthf[l] ,7
14,NAME,10-Formyltetrahydrofolate <  = > 10-Formyltetrahydrofolate,7
15,ABBR,10fthf[c]  <=> 10fthf[m] ,8
16,NAME,10-Formyltetrahydrofolate <  = > 10-Formyltetrahydrofolate,8
17,ABBR,11docrtsl[c]  <=> 11docrtsl[m] ,9
18,NAME,11-deoxycortisol <  = > 11-deoxycortisol,9
19,ABBR,11docrtsl[c]  <=> 11docrtsl[r] ,10
20,NAME,11-deoxycortisol <  = > 11-deoxycortisol,10
21,ABBR,11docrtstrn[c]  <=> 11docrtstrn[m] ,11
22,NAME,11-deoxycorticosterone <  = > 11-deoxycorticosterone,11
23,ABBR,11docrtstrn[c]  <=> 11docrtstrn[r] ,12
24,NAME,11-deoxycorticosterone <  = > 11-deoxycorticosterone,12
25,ABBR,13dampp[c] + h2o[c] + o2[c]  => bamppald[c] + h2o2[c] + nh4[c] ,13
26,NAME,trimethylenediaminium+Water+O2 = > beta-Aminopropion aldehyde+Hydrogen peroxide+Ammonium,13
27,ABBR,2425dhvitd2[m] + h[m] + nadph[m] + o2[m]  => 1a2425thvitd2[m] + h2o[m] + nadp[m] ,14
