1,5,1,,in,,1,1
2,7,1,,out,,1,1
3,8,2,,in,,1,1
4,5,2,,out,,1,1
5,9,3,,in,,1,1
6,11,3,,out,,1,1
7,12,4,,in,,1,1
8,9,4,,out,,1,1
9,13,5,,in,,1,1
10,15,5,,out,,1,1
11,16,6,,in,,1,1
12,13,6,,out,,1,1
13,1,7,,in,,1,1
14,3,7,,out,,1,1
15,1,8,,in,,1,1
16,4,8,,out,,1,1
17,19,9,,in,,1,1
18,20,9,,out,,1,1
19,19,10,,in,,1,1
20,21,10,,out,,1,1
21,22,11,,in,,1,1
22,23,11,,out,,1,1
23,22,12,,in,,1,1
24,24,12,,out,,1,1
25,79,20,,in,,1,1
26,80,20,,out,,1,1
27,81,21,,in,,1,1
28,79,21,,out,,1,1
29,82,22,,in,,1,1
30,83,22,,out,,1,1
31,84,23,,in,,1,1
32,82,23,,out,,1,1
33,86,26,,in,,1,1
34,85,26,,out,,1,1
35,88,27,,in,,1,1
36,89,27,,out,,1,1
37,89,28,,in,,1,1
38,88,28,,out,,1,1
39,88,29,,in,,1,1
40,90,29,,out,,1,1
41,90,30,,in,,1,1
42,88,30,,out,,1,1
43,91,31,,in,,1,1
44,92,31,,out,,1,1
45,92,32,,in,,1,1
46,91,32,,out,,1,1
47,91,33,,in,,1,1
48,93,33,,out,,1,1
49,93,34,,in,,1,1
50,91,34,,out,,1,1
51,3811,39,,in,,1,1
52,632,39,,in,,1,1
53,3812,39,,out,,1,1
54,630,39,,out,,1,1
55,115,42,0,in,6566,1,1
56,3174,42,0,in,6566,1,1
57,3173,42,0,out,6566,1,1
58,114,42,0,out,6566,1,1
59,3491,43,,in,,1,1
60,4112,43,0,in,57835,1,1
61,3490,43,,out,,1,1
62,4111,43,0,out,57835,1,1
63,127,44,,in,,1,1
64,128,44,,out,,1,1
65,632,46,,in,,1,1
66,138,46,,in,,1,1
67,630,46,,out,,1,1
68,139,46,,out,,1,1
69,147,48,,in,,1,1
70,148,48,,out,,1,1
71,152,50,,in,,1,1
72,151,50,,out,,1,1
73,157,57,,in,,1,1
74,160,57,,out,,1,1
75,162,58,,in,,1,1
76,163,58,,out,,1,1
77,164,60,0,in,18,1,1
78,162,60,0,out,18,1,1
79,235,74,,in,,1,1
80,236,74,,out,,1,1
81,3173,75,,in,,1,1
82,238,75,,in,,1,1
83,3177,75,,out,,1,1
84,240,75,,out,,1,1
85,3173,76,,in,,1,1
86,241,76,,in,,1,1
87,3177,76,,out,,1,1
88,243,76,,out,,1,1
89,280,81,0,in,8604,1,1
90,748,81,0,in,8604,1,1
91,279,81,0,out,8604,1,1
92,751,81,0,out,8604,1,1
93,310,91,,in,,1,1
94,313,91,,out,,1,1
95,325,94,,in,,1,1
96,324,94,,out,,1,1
97,3173,97,,in,,1,1
98,340,97,,in,,1,1
99,3177,97,,out,,1,1
100,342,97,,out,,1,1
101,343,98,,in,,1,1
102,344,98,,out,,1,1
103,343,99,,in,,1,1
104,345,99,,out,,1,1
105,343,100,,in,,1,1
106,346,100,,out,,1,1
107,348,101,,in,,1,1
108,347,101,,out,,1,1
109,354,102,,in,,1,1
110,353,102,,out,,1,1
111,352,104,,in,,1,1
112,351,104,,out,,1,1
113,374,107,,in,,1,1
114,376,107,,out,,1,1
115,377,108,,in,,1,1
116,378,108,,out,,1,1
117,370,110,,in,,1,1
118,369,110,,out,,1,1
119,373,111,,in,,1,1
120,369,111,,out,,1,1
121,382,112,,in,,1,1
122,383,112,,out,,1,1
123,384,113,,in,,1,1
124,386,113,,out,,1,1
125,3182,114,0,in,6573,1,1
126,393,114,0,in,6573,1,1
127,392,114,0,out,6573,1,1
128,3183,114,0,out,6573,1,1
129,397,116,,in,,1,1
130,396,116,,out,,1,1
131,415,124,0,in,2348,1,1
132,414,124,0,out,2348,1,1
133,3182,125,0,in,6573,1,1
134,415,125,0,in,6573,1,1
135,3183,125,0,out,6573,1,1
136,414,125,0,out,6573,1,1
137,424,126,,in,,1,1
138,426,126,,out,,1,1
139,427,127,,in,,1,1
140,424,127,,out,,1,1
141,429,128,,in,,1,1
142,431,128,,out,,1,1
143,432,129,,in,,1,1
144,429,129,,out,,1,1
145,434,130,,in,,1,1
146,435,130,,out,,1,1
147,434,131,,in,,1,1
148,436,131,,out,,1,1
149,443,132,,in,,1,1
150,445,132,,out,,1,1
151,446,133,,in,,1,1
152,443,133,,out,,1,1
153,448,134,,in,,1,1
154,447,134,,out,,1,1
155,449,135,,in,,1,1
156,451,135,,out,,1,1
157,452,136,,in,,1,1
158,449,136,,out,,1,1
159,453,137,,in,,1,1
160,455,137,,out,,1,1
161,456,138,,in,,1,1
162,453,138,,out,,1,1
163,463,147,,in,,1,1
164,462,147,,out,,1,1
165,464,161,,in,,1,1
166,465,161,,out,,1,1
167,3174,163,,in,,1,1
168,311,163,,in,,1,1
169,3173,163,,out,,1,1
170,310,163,,out,,1,1
171,312,164,,in,,1,1
172,3176,164,,in,,1,1
173,3173,164,,out,,1,1
174,310,164,,out,,1,1
175,4112,165,,in,,1,1
176,311,165,0,in,6539,1,1
177,4111,165,,out,,1,1
178,310,165,0,out,6539,1,1
179,3174,170,0,in,9194,1,1
180,472,170,0,in,9194,1,1
181,3173,170,0,out,9194,1,1
182,471,170,0,out,9194,1,1
183,3173,171,,in,,1,1
184,471,171,,in,,1,1
185,3177,171,,out,,1,1
186,473,171,,out,,1,1
187,471,178,,in,,1,1
188,474,178,,out,,1,1
189,477,179,,in,,1,1
190,476,179,,out,,1,1
191,478,180,,in,,1,1
192,476,180,,out,,1,1
193,479,181,,in,,1,1
194,476,181,,out,,1,1
195,480,182,,in,,1,1
196,476,182,,out,,1,1
197,481,185,,in,,1,1
198,482,185,,out,,1,1
199,481,188,,in,,1,1
200,484,188,,out,,1,1
201,481,189,,in,,1,1
202,485,189,,out,,1,1
203,3174,190,0,in,9194,1,1
204,489,190,0,in,9194,1,1
205,3173,190,0,out,9194,1,1
206,488,190,0,out,9194,1,1
207,3173,191,,in,,1,1
208,488,191,,in,,1,1
209,3177,191,,out,,1,1
210,490,191,,out,,1,1
211,493,192,,in,,1,1
212,494,192,,out,,1,1
213,493,193,,in,,1,1
214,495,193,,out,,1,1
