13,9606,AADAC,arylacetamide deacetylase
15,9606,AANAT,aralkylamine N-acetyltransferase
18,9606,ABAT,4-aminobutyrate aminotransferase
19,9606,ABCA1,"ATP-binding cassette, sub-family A (ABC1), member 1"
26,9606,AOC1,"amine oxidase, copper containing 1"
28,9606,ABO,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"
30,9606,ACAA1,acetyl-CoA acyltransferase 1
31,9606,ACACA,acetyl-CoA carboxylase alpha
32,9606,ACACB,acetyl-CoA carboxylase beta
33,9606,ACADL,"acyl-CoA dehydrogenase, long chain"
34,9606,ACADM,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain"
35,9606,ACADS,"acyl-CoA dehydrogenase, C-2 to C-3 short chain"
36,9606,ACADSB,"acyl-CoA dehydrogenase, short/branched chain"
37,9606,ACADVL,"acyl-CoA dehydrogenase, very long chain"
38,9606,ACAT1,acetyl-CoA acetyltransferase 1
39,9606,ACAT2,acetyl-CoA acetyltransferase 2
43,9606,ACHE,acetylcholinesterase (Yt blood group)
47,9606,ACLY,ATP citrate lyase
48,9606,ACO1,"aconitase 1, soluble"
50,9606,ACO2,"aconitase 2, mitochondrial"
51,9606,ACOX1,"acyl-CoA oxidase 1, palmitoyl"
52,9606,ACP1,"acid phosphatase 1, soluble"
53,9606,ACP2,"acid phosphatase 2, lysosomal"
54,9606,ACP5,"acid phosphatase 5, tartrate resistant"
55,9606,ACPP,"acid phosphatase, prostate"
95,9606,ACY1,aminoacylase 1
97,9606,ACYP1,"acylphosphatase 1, erythrocyte (common) type"
98,9606,ACYP2,"acylphosphatase 2, muscle type"
100,9606,ADA,adenosine deaminase
107,9606,ADCY1,adenylate cyclase 1 (brain)
108,9606,ADCY2,adenylate cyclase 2 (brain)
109,9606,ADCY3,adenylate cyclase 3
111,9606,ADCY5,adenylate cyclase 5
112,9606,ADCY6,adenylate cyclase 6
113,9606,ADCY7,adenylate cyclase 7
114,9606,ADCY8,adenylate cyclase 8 (brain)
115,9606,ADCY9,adenylate cyclase 9
124,9606,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide"
125,9606,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide"
126,9606,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide"
127,9606,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide"
128,9606,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide"
130,9606,ADH6,alcohol dehydrogenase 6 (class V)
131,9606,ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
132,9606,ADK,adenosine kinase
158,9606,ADSL,adenylosuccinate lyase
159,9606,ADSS,adenylosuccinate synthase
175,9606,AGA,aspartylglucosaminidase
178,9606,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
189,9606,AGXT,alanine-glyoxylate aminotransferase
191,9606,AHCY,adenosylhomocysteinase
203,9606,AK1,adenylate kinase 1
204,9606,AK2,adenylate kinase 2
205,9606,AK4,adenylate kinase 4
206,9606,AK4P1,adenylate kinase 4 pseudogene 1
210,9606,ALAD,aminolevulinate dehydratase
211,9606,ALAS1,"aminolevulinate, delta-, synthase 1"
212,9606,ALAS2,"aminolevulinate, delta-, synthase 2"
215,9606,ABCD1,"ATP-binding cassette, sub-family D (ALD), member 1"
216,9606,ALDH1A1,"aldehyde dehydrogenase 1 family, member A1"
217,9606,ALDH2,aldehyde dehydrogenase 2 family (mitochondrial)
218,9606,ALDH3A1,"aldehyde dehydrogenase 3 family, member A1"
219,9606,ALDH1B1,"aldehyde dehydrogenase 1 family, member B1"
220,9606,ALDH1A3,"aldehyde dehydrogenase 1 family, member A3"
221,9606,ALDH3B1,"aldehyde dehydrogenase 3 family, member B1"
222,9606,ALDH3B2,"aldehyde dehydrogenase 3 family, member B2"
223,9606,ALDH9A1,"aldehyde dehydrogenase 9 family, member A1"
224,9606,ALDH3A2,"aldehyde dehydrogenase 3 family, member A2"
225,9606,ABCD2,"ATP-binding cassette, sub-family D (ALD), member 2"
226,9606,ALDOA,"aldolase A, fructose-bisphosphate"
229,9606,ALDOB,"aldolase B, fructose-bisphosphate"
230,9606,ALDOC,"aldolase C, fructose-bisphosphate"
231,9606,AKR1B1,"aldo-keto reductase family 1, member B1 (aldose reductase)"
239,9606,ALOX12,arachidonate 12-lipoxygenase
240,9606,ALOX5,arachidonate 5-lipoxygenase
242,9606,ALOX12B,"arachidonate 12-lipoxygenase, 12R type"
246,9606,ALOX15,arachidonate 15-lipoxygenase
247,9606,ALOX15B,"arachidonate 15-lipoxygenase, type B"
248,9606,ALPI,"alkaline phosphatase, intestinal"
249,9606,ALPL,"alkaline phosphatase, liver/bone/kidney"
250,9606,ALPP,"alkaline phosphatase, placental"
251,9606,ALPPL2,"alkaline phosphatase, placental-like 2"
262,9606,AMD1,adenosylmethionine decarboxylase 1
270,9606,AMPD1,adenosine monophosphate deaminase 1
271,9606,AMPD2,adenosine monophosphate deaminase 2
272,9606,AMPD3,adenosine monophosphate deaminase 3
275,9606,AMT,aminomethyltransferase
276,9606,AMY1A,"amylase, alpha 1A (salivary)"
277,9606,AMY1B,"amylase, alpha 1B (salivary)"
278,9606,AMY1C,"amylase, alpha 1C (salivary)"
279,9606,AMY2A,"amylase, alpha 2A (pancreatic)"
280,9606,AMY2B,"amylase, alpha 2B (pancreatic)"
290,9606,ANPEP,alanyl (membrane) aminopeptidase
291,9606,SLC25A4,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4"
292,9606,SLC25A5,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"
293,9606,SLC25A6,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6"
314,9606,AOC2,"amine oxidase, copper containing 2 (retina-specific)"
316,9606,AOX1,aldehyde oxidase 1
318,9606,NUDT2,nudix (nucleoside diphosphate linked moiety X)-type motif 2
343,9606,AQP8,aquaporin 8
353,9606,APRT,adenine phosphoribosyltransferase
366,9606,AQP9,aquaporin 9
383,9606,ARG1,arginase 1
384,9606,ARG2,arginase 2
410,9606,ARSA,arylsulfatase A
411,9606,ARSB,arylsulfatase B
412,9606,STS,"steroid sulfatase (microsomal), isozyme S"
427,9606,ASAH1,N-acylsphingosine amidohydrolase (acid ceramidase) 1
435,9606,ASL,argininosuccinate lyase
438,9606,ASMT,acetylserotonin O-methyltransferase
440,9606,ASNS,asparagine synthetase (glutamine-hydrolyzing)
443,9606,ASPA,aspartoacylase
445,9606,ASS1,argininosuccinate synthase 1
471,9606,ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
476,9606,ATP1A1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide"
477,9606,ATP1A2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide"
478,9606,ATP1A3,"ATPase, Na+/K+ transporting, alpha 3 polypeptide"
480,9606,ATP1A4,"ATPase, Na+/K+ transporting, alpha 4 polypeptide"
481,9606,ATP1B1,"ATPase, Na+/K+ transporting, beta 1 polypeptide"
482,9606,ATP1B2,"ATPase, Na+/K+ transporting, beta 2 polypeptide"
483,9606,ATP1B3,"ATPase, Na+/K+ transporting, beta 3 polypeptide"
490,9606,ATP2B1,"ATPase, Ca++ transporting, plasma membrane 1"
491,9606,ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2"
492,9606,ATP2B3,"ATPase, Ca++ transporting, plasma membrane 3"
